question_id,human_score,ai_score,max_marks,method
Q1_a,5,1.67,10.0,LLM Concept + Relevance Penalty
Q1_a,5,5.0,10.0,LLM Concept + Relevance Penalty
Q1_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q1_a,5,5.0,10.0,LLM Concept + Relevance Penalty
Q1_a,5,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,10,3.33,10.0,LLM Concept + Relevance Penalty
Q1_a,10,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,3,0.0,10.0,LLM Concept + Relevance Penalty
Q1_a,5,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,7,1.67,10.0,LLM Concept + Relevance Penalty
Q1_a,10,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,5,1.67,10.0,LLM Concept + Relevance Penalty
Q1_a,7,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,8,2.5,10.0,LLM Concept + Relevance Penalty
Q1_a,5,1.67,10.0,LLM Concept + Relevance Penalty
Q1_a,10,1.67,10.0,LLM Concept + Relevance Penalty
Q1_a,10,10.0,10.0,LLM Concept + Relevance Penalty
Q1_a,5,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,6,6.67,10.0,LLM Concept + Relevance Penalty
Q1_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q1_a,8,5.0,10.0,LLM Concept + Relevance Penalty
Q1_b,12,9.38,15.0,LLM Concept + Relevance Penalty
Q1_b,10,5.0,15.0,LLM Concept + Relevance Penalty
Q1_b,5,5.0,15.0,LLM Concept + Relevance Penalty
Q1_b,3,0.0,15.0,LLM Concept + Relevance Penalty
Q1_b,10,11.25,15.0,LLM Concept + Relevance Penalty
Q1_b,0,0.0,15.0,LLM Concept + Relevance Penalty
Q1_b,10,10.0,15.0,LLM Concept + Relevance Penalty
Q1_b,5,10.0,15.0,LLM Concept + Relevance Penalty
Q1_b,15,7.5,15.0,LLM Concept + Relevance Penalty
Q1_b,0,5.0,15.0,LLM Concept + Relevance Penalty
Q1_b,5,2.5,15.0,LLM Concept + Relevance Penalty
Q1_b,15,12.5,15.0,LLM Concept + Relevance Penalty
Q1_b,10,7.5,15.0,LLM Concept + Relevance Penalty
Q1_b,15,7.5,15.0,LLM Concept + Relevance Penalty
Q1_b,10,4.5,15.0,LLM Concept + Relevance Penalty
Q1_b,10,10.0,15.0,LLM Concept + Relevance Penalty
Q1_b,10,12.5,15.0,LLM Concept + Relevance Penalty
Q1_b,10,7.5,15.0,LLM Concept + Relevance Penalty
Q1_b,0,7.5,15.0,LLM Concept + Relevance Penalty
Q1_b,10,5.0,15.0,LLM Concept + Relevance Penalty
Q1_b,10,10.0,15.0,LLM Concept + Relevance Penalty
Q1_c,33,18.33,55.0,LLM Concept + Relevance Penalty
Q1_c,35,28.5,55.0,LLM Concept + Relevance Penalty
Q1_c,35,27.5,55.0,LLM Concept + Relevance Penalty
Q1_c,40,27.5,55.0,LLM Concept + Relevance Penalty
Q1_c,35,33.75,55.0,LLM Concept + Relevance Penalty
Q1_c,48,25.0,55.0,LLM Concept + Relevance Penalty
Q1_c,35,20.0,55.0,LLM Concept + Relevance Penalty
Q1_c,50,40.0,55.0,LLM Concept + Relevance Penalty
Q1_c,50,37.5,55.0,LLM Concept + Relevance Penalty
Q1_c,33,37.5,55.0,LLM Concept + Relevance Penalty
Q1_c,55,25.0,55.0,LLM Concept + Relevance Penalty
Q1_c,55,55.0,55.0,LLM Concept + Relevance Penalty
Q1_c,45,52.5,55.0,LLM Concept + Relevance Penalty
Q1_c,45,25.0,55.0,LLM Concept + Relevance Penalty
Q1_c,40,50.0,55.0,LLM Concept + Relevance Penalty
Q1_c,40,40.0,55.0,LLM Concept + Relevance Penalty
Q1_c,50,47.5,55.0,LLM Concept + Relevance Penalty
Q1_c,45,37.5,55.0,LLM Concept + Relevance Penalty
Q1_c,30,30.0,55.0,LLM Concept + Relevance Penalty
Q1_c,30,20.0,55.0,LLM Concept + Relevance Penalty
Q2_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q2_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q2_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q2_a,8,3.33,10.0,LLM Concept + Relevance Penalty
Q2_a,10,1.67,10.0,LLM Concept + Relevance Penalty
Q2_a,0,0.0,10.0,LLM Concept + Relevance Penalty
Q2_a,10,5.0,10.0,LLM Concept + Relevance Penalty
