question_id,human_score,ai_score,max_marks,answer_type,num_concepts,confidence,method
Q1_a,5,3.75,10.0,essay,4,medium,LLM Concept v3
Q1_a,5,7.5,10.0,essay,4,medium,LLM Concept v3
Q1_a,0,0.0,10.0,essay,4,high,LLM Concept v3
Q1_a,5,5.0,10.0,essay,4,high,LLM Concept v3
Q1_a,5,5.0,10.0,essay,4,high,LLM Concept v3
Q1_a,10,3.25,10.0,essay,3,high,LLM Concept v3
Q1_a,10,6.0,10.0,essay,5,high,LLM Concept v3
Q1_a,3,2.5,10.0,essay,4,medium,LLM Concept v3
Q1_a,5,6.0,10.0,essay,5,high,LLM Concept v3
Q1_a,7,3.75,10.0,essay,4,high,LLM Concept v3
Q1_a,10,6.0,10.0,essay,5,high,LLM Concept v3
Q1_a,5,2.5,10.0,essay,4,high,LLM Concept v3
Q1_a,7,6.0,10.0,essay,5,high,LLM Concept v3
Q1_a,8,8.25,10.0,essay,3,high,LLM Concept v3
Q1_a,5,1.75,10.0,essay,3,medium,LLM Concept v3
Q1_a,10,5.0,10.0,essay,4,high,LLM Concept v3
Q1_a,10,6.75,10.0,essay,3,high,LLM Concept v3
Q1_a,5,5.0,10.0,essay,3,high,LLM Concept v3
Q1_a,6,2.5,10.0,essay,4,high,LLM Concept v3
Q1_a,8,3.25,10.0,essay,3,high,LLM Concept v3
Q1_a,8,5.0,10.0,essay,3,high,LLM Concept v3
Q1_b,12,15.0,15.0,essay,3,high,LLM Concept v3
Q1_b,10,7.5,15.0,essay,4,high,LLM Concept v3
Q1_b,5,5.0,15.0,essay,3,high,LLM Concept v3
Q1_b,3,0.0,15.0,essay,3,high,LLM Concept v3
Q1_b,10,10.0,15.0,essay,3,medium,LLM Concept v3
Q1_b,0,5.0,15.0,essay,3,medium,LLM Concept v3
Q1_b,10,12.5,15.0,essay,3,high,LLM Concept v3
Q1_b,5,7.5,15.0,essay,3,high,LLM Concept v3
Q1_b,15,15.0,15.0,essay,4,high,LLM Concept v3
Q1_b,0,3.75,15.0,essay,4,high,LLM Concept v3
Q1_b,5,5.0,15.0,essay,3,high,LLM Concept v3
Q1_b,15,7.5,15.0,essay,3,high,LLM Concept v3
Q1_b,10,10.0,15.0,essay,3,high,LLM Concept v3
Q1_b,15,12.5,15.0,essay,3,high,LLM Concept v3
Q1_b,10,10.0,15.0,essay,3,medium,LLM Concept v3
Q1_b,10,9.5,15.0,essay,4,high,LLM Concept v3
Q1_b,10,10.0,15.0,essay,3,high,LLM Concept v3
Q1_b,10,7.5,15.0,essay,3,high,LLM Concept v3
Q1_b,0,0.0,15.0,essay,3,high,LLM Concept v3
Q1_b,10,5.0,15.0,essay,3,high,LLM Concept v3
Q1_b,10,12.5,15.0,essay,3,high,LLM Concept v3
Q1_c,33,4.5,55.0,essay,12,high,LLM Concept v3
Q1_c,35,7.5,55.0,essay,11,medium,LLM Concept v3
Q1_c,35,5.0,55.0,essay,11,high,LLM Concept v3
Q1_c,40,30.0,55.0,essay,11,high,LLM Concept v3
Q1_c,35,50.0,55.0,essay,11,high,LLM Concept v3
Q1_c,48,45.0,55.0,essay,11,high,LLM Concept v3
Q1_c,35,15.0,55.0,essay,11,medium,LLM Concept v3
Q1_c,50,37.5,55.0,essay,11,medium,LLM Concept v3
Q1_c,50,35.0,55.0,essay,11,high,LLM Concept v3
Q1_c,33,40.0,55.0,essay,11,high,LLM Concept v3
Q1_c,55,45.0,55.0,essay,11,high,LLM Concept v3
Q1_c,55,52.5,55.0,essay,11,high,LLM Concept v3
Q1_c,45,50.0,55.0,essay,11,high,LLM Concept v3
Q1_c,45,37.5,55.0,essay,11,high,LLM Concept v3
Q1_c,40,50.0,55.0,essay,11,high,LLM Concept v3
Q1_c,40,25.0,55.0,essay,11,high,LLM Concept v3
Q1_c,50,25.0,55.0,essay,11,medium,LLM Concept v3
Q1_c,45,55.0,55.0,essay,11,high,LLM Concept v3
Q1_c,30,25.0,55.0,essay,11,high,LLM Concept v3
Q1_c,30,17.5,55.0,essay,11,high,LLM Concept v3
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q2_a,0,3.25,10.0,essay,3,high,LLM Concept v3
Q2_a,8,3.25,10.0,essay,3,high,LLM Concept v3
Q2_a,10,3.25,10.0,essay,6,high,LLM Concept v3
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q2_a,10,5.0,10.0,essay,3,high,LLM Concept v3
Q2_a,10,10.0,10.0,essay,3,high,LLM Concept v3
Q2_a,10,6.75,10.0,essay,3,high,LLM Concept v3
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q2_a,10,6.75,10.0,essay,3,high,LLM Concept v3
Q2_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q2_a,0,1.75,10.0,essay,3,medium,LLM Concept v3
Q2_a,10,6.75,10.0,essay,3,high,LLM Concept v3
Q2_a,10,3.25,10.0,essay,3,high,LLM Concept v3
Q2_b,0,0.0,45.0,essay,10,high,LLM Concept v3
Q2_b,5,0.0,45.0,essay,10,high,LLM Concept v3
Q2_b,10,12.75,45.0,essay,7,high,LLM Concept v3
Q2_b,30,27.0,45.0,essay,10,high,LLM Concept v3
Q2_b,30,15.75,45.0,essay,10,high,LLM Concept v3
Q2_b,30,15.75,45.0,essay,10,high,LLM Concept v3
Q2_b,35,9.0,45.0,essay,10,medium,LLM Concept v3
Q2_b,15,17.0,45.0,essay,8,high,LLM Concept v3
Q2_b,40,22.5,45.0,essay,4,high,LLM Concept v3
Q2_b,28,30.0,45.0,essay,9,high,LLM Concept v3
Q2_b,35,20.25,45.0,essay,10,medium,LLM Concept v3
Q2_b,26,22.5,45.0,essay,9,high,LLM Concept v3
Q2_b,28,15.75,45.0,essay,10,high,LLM Concept v3
Q2_b,30,14.0,45.0,essay,8,high,LLM Concept v3
Q2_b,16,5.5,45.0,essay,8,high,LLM Concept v3
Q2_b,45,25.0,45.0,essay,9,high,LLM Concept v3
Q2_b,45,36.0,45.0,essay,10,high,LLM Concept v3
Q3_a,0,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,6,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q3_a,10,5.0,10.0,essay,4,medium,LLM Concept v3
Q3_a,9,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,8,5.0,10.0,essay,3,high,LLM Concept v3
Q3_a,4,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,0,6.75,10.0,essay,3,high,LLM Concept v3
Q3_a,0,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,5,6.75,10.0,essay,3,high,LLM Concept v3
Q3_a,0,0.0,10.0,essay,3,high,LLM Concept v3
Q3_a,8,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,8,6.75,10.0,essay,3,high,LLM Concept v3
Q3_a,6,5.0,10.0,essay,3,high,LLM Concept v3
Q3_a,7,3.25,10.0,essay,3,medium,LLM Concept v3
Q3_a,6,0.0,10.0,essay,3,high,LLM Concept v3
Q3_a,8,5.0,10.0,essay,3,high,LLM Concept v3
Q3_a,8,3.25,10.0,essay,3,high,LLM Concept v3
Q3_a,8,6.75,10.0,essay,3,high,LLM Concept v3
Q3_b,8,5.0,15.0,essay,3,high,LLM Concept v3
Q3_b,10,5.0,15.0,essay,3,high,LLM Concept v3
Q3_b,5,7.5,15.0,essay,3,high,LLM Concept v3
Q3_b,10,0.0,15.0,essay,3,high,LLM Concept v3
Q3_b,12,10.0,15.0,essay,3,high,LLM Concept v3
Q3_b,8,7.5,15.0,essay,3,high,LLM Concept v3
Q3_b,0,0.0,15.0,essay,3,high,LLM Concept v3
Q3_b,7,12.5,15.0,essay,3,high,LLM Concept v3
Q3_b,5,10.0,15.0,essay,3,high,LLM Concept v3
Q3_b,14,7.5,15.0,essay,4,high,LLM Concept v3
Q3_b,12,15.0,15.0,essay,3,high,LLM Concept v3
Q3_b,6,0.0,15.0,essay,3,high,LLM Concept v3
Q3_b,5,7.5,15.0,essay,3,high,LLM Concept v3
Q3_b,10,7.5,15.0,essay,3,high,LLM Concept v3
Q3_b,7,0.0,15.0,essay,4,high,LLM Concept v3
