question_id,student_id,question,marking_scheme,image_paths,extracted_text,teacher_score
Q1_a,student_01,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_01.jpeg,"Q1)
a) The capacitiy of a system for provide services &
e.service with. effectivily, efficiency and Safty
to the user.",5
Q1_a,student_02,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_02.jpeg,"Q1.
a. Usability Engineering
Usability is the capacity of the Users can perform (use)
use the system safely, effectively and efficiently
with
maintain the experience",5
Q1_a,student_03,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_03.jpeg,"(01) (a). Usability Engineering, it's not a single,
one-dimentional prodety of the all user interface.",0
Q1_a,student_04,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_04.jpeg,"Q1) a) usability is Quality attribute to assess
how easily user interface are to use .

Usability describe as to system
to provide conditions to perform task
efficiency, effectively for users.",5
Q1_a,student_05,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_05.jpeg,"(Q1) (a) Us ability engineering is a professional discipline that
focus on regarding the behaviour of the interactive
system. usability is a way to measure how the
product is easy to use.",5
Q1_a,student_06,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_06.jpeg,"① (a) Usability Engineering.
usability is an quality attribute of a
product. usability engineering in the seense
applying engineering aspects to acheive
quality of the product.",10
Q1_a,student_07,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_07.jpeg,".) Usability is described as a capacity of the system that provide a
condition for it users to performedt tasks safety, effectively, and
efficiently while enjoying the user experience.

Usability is a go quality attributes that will used to assess the how
easy interface are to use. The word ""usability"" refers to the
methods of functionality for ease-of-use interfaces.

Usability can be measured by having number of test users use the system to
perform a prespecified set of tasks.",10
Q1_a,student_08,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_08.jpeg,"Question
[[Boxed number: 01]]
a) usability engineering is a quality attributes to measurel across
How user interest with the system.",3
Q1_a,student_09,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_09.jpeg,"Q1
a) usability engineering means users
doing task safely, effectively and efficiency
with. while enjoying with the system
by using system functionalities.",5
Q1_a,student_10,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_10.jpeg,"(1) Usability is a quality attribute that measures the user interfaces
how easy to use. This process is called Usability Engineering.",7
Q1_a,student_11,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_11.jpeg,"Q
a) Usability Engineering is an profetional Desipling
of the improving Usability of the interactive
System. Usability Engineering is
Only One Slot of rease a product with
Usability improved. And also each product.
us high Usability help to improve the
Company reputation",10
Q1_a,student_12,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_12.jpeg,"Q1) a) usability Engineering is a quality attribute that assesses
how easy are to use:",5
Q1_a,student_13,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_13.jpeg,"1)
a) The capacity of a system to provide its users to perform tasks safely, effectively, and efficiently while enjoying the experience.",7
Q1_a,student_14,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_14.jpeg,"2. a) usability Engineering is the field of study
about the system ease of use. It study
how the system is usable for it's users
and how the system is usable efficiently,
effectively and safely.",8
Q1_a,student_15,"Scenario: ABC (Pvt) Ltd. is a chain of supermarkets in Sri Lanka. Suppose you are asked to design a new version of the cash register machine for ABC. Question: Briefly explain what is ""Usability Engineering""?",1. Systematic approach to design. 2. Focuses on user needs and limitations. 3. Aims to ensure efficiency and user satisfaction.,images/Q1_a/student_15.jpeg,"(Q1) (a)
Set 08 Principles do perform a task
with safety efficiency and effectively
do",5
